Mentions,Category,Reach,Weightage,Love Category,Love Negative,Love Positive,Trust Category,Trust Negative,Trust Positive,Affordability Category,Affordability Negative,Affordability Positive,Awareness Category,Awareness Negative,Awareness Positive
Gurgaon: Ingka Center breaks ground on its first IKEA anchored meeting place ...,C,27807,0.25, ,,,,,,,,,,,
Gurgaon: Ingka Centre breaks ground on its first IKEA anchored meeting place ...,A,0,1, ,,,,,,,,,,,
"... IKEA lines up ₹7,300cr for NCR ...",A,0,1, ,,,,,,,,,,,
"... IKEA lines up Rs 7,300cr for NCR ...",A,651,1, ,,,,,,,,,,,
"... Ikea lines up Rs 7,200cr investment in NCR, to open Gurgaon hub in 2025 ...",A,19453181,1, ,,,,,,,,, Awareness,,
"... Ikea operator to speculate over ₹7,000 cr in India ...",C,51109,0.25, ,,,,,,,,,,,
"... Ikea operator to invest over Rs.7,000 cr in India ...",C,25222395,0.25, ,,,,,,,,,,,
Haryana CM launches IKEA Retail construction project ...,C,231394,0.25, ,,,,,,,,,,,
"... ₹7,000 cr in India data-reg = Ikea operator to invest over  ₹7,000 cr in India>Ikea operator to invest over  ₹7,000 cr in India ...",A,0,1, ,,,,,,,,,,,
Haryana CM Khattar inaugurates IKEA's project in Gurugram ...,C,307526,0.25, ,,,,,,,,,,,
Haryana CM launches IKEA Retail construction project ...,B,1052,0.5, ,,,,,,,,,,,
... IKEA's retail operator to invest 500 mn euros to open city centre in Noida ...,A,27807,1, ,,,,,,,,, Awareness,,
... Ikea group to open city center in Gurguram ...,B,13968,0.5, ,,,,,,,,, Awareness,,
... IKEA दिल्ली-एनसीआर में अपना पहला स्टोर लॉन्च करने के लिए तैयार ...,C,602,0.25, ,,,,,,,,,,,
Ingka Centres to open its first Ikea-anchored retail destination in India by 2025 ...,A,307526,1, ,,,,,,,,, Awareness,,
"... Ikea’s Retail Operator Ingka Group Plans To Set Up City Centres at Gurugram, Noida at Rs 7,245 Crore ...",A,218172,1, ,,,,,,,,, Awareness,,
"... Ikea’s Retail Operator Ingka Group Plans To Set Up City Centres at Gurugram, Noida at Rs 7,245 Crore ...",C,27807,0.25, ,,,,,,,,, Awareness,,
"... Ikea’s retail operator Ingka Group to open city centres at Gurugram, Noida ...",C,1052,0.25, ,,,,,,,,, Awareness,,
... IKEA to open its first store in Delhi-NCR by 2025 ...,A,8079871,1, ,,,,,,,,, Awareness,,
"... Ikea's retail operator Ingka Group to open city centres at Gurugram, Noida. Details here ...",A,43661,1, ,,,,,,,,, Awareness,,
... IKEA set to open first Delhi-NCR store in 2025 ...,B,11705,0.5, ,,,,,,,,, Awareness,,
Ingka Centres Breaks Ground on its First IKEA Anchored Meeting Place in India ...,C,20016264,0.25, ,,,,,,,,,,,
... IKEA set to open first Delhi-NCR store in 2025 ...,A,15250931,1, ,,,,,,,,, Awareness,,
"Amid covid scare, shoppers flee as officials lock down Ikea store ...",C,4453224,0.25, ,,,,,,,,,,,
"Amid covid scare, shoppers flee as officials lock down Ikea store ...",C,22753,0.25, ,,,,,,,,,,,
Peloton May Borrow Ikea’s Most Successful Strategy ...,C,7160610,0.25, ,,,,,,,,,,,
Peloton May Borrow Ikea’s Most Successful Strategy ...,C,15250931,0.25, ,,,,,,,,,,,
Peloton May Borrow Ikea’s Most Successful Strategy ...,C,1052,0.25, ,,,,,,,,,,,
Peloton May Borrow Ikea’s Most Successful Strategy ...,C,0,0.25, ,,,,,,,,,,,
"... IKEA ends the sale of goods online on the evening of August 15, 2022 in Novosibirsk | NHS ...",C,51562,0.25, ,,,,,, Affordability,,1,,,1
Health guards force to lock customers inside Chinese Ikea store ...,C,107088,0.25, ,,,,,,,,,,,
"Health Officials Tried to Lock Everyone In an Ikea. Then, Chaos ...",C,12922023,0.25, ,,,,,,,,,,,
"Panicked Ikea shoppers were locked inside store for more than 4 hours because of COVID-19 risk, report says ...",A,0,1, ,,,,,,,,,,,
Customers try to flee Ikea ...,C,10236,0.25, ,,,,,,,,,,,
... Ikea shoppers panic after security locks down store on Covid risk ...,A,735,1, ,,,,,,,,,,,
Customers try to escape from Ikea store ...,B,264,0.5, ,,,,,,,,,,,
... 5 Aldi home products that rival Ikea ...,B,257,0.5, ,,,,,,,,,,,
"... IKEA's 'No pills, just pillows' post goes viral ...",C,196,0.25, ,,,,,,,,,,,
"... IKEA's 'No pills, just pillows' post goes viral ...",A,264,1, ,,,,,,,,,,,
... IKEA Customers Will Soon Get To Fast-Charge Their EVs While Shopping ...,C,313,0.25, ,,,,,,,,,,,
... IKEA Customers Will Soon Get To Fast-Charge Their EVs While Shopping ...,C,264,0.25, ,,,,,,,,,,,
... #BTCOVER | IKEA's India Challenge ...,A,257,1, ,,,,,,,,,,,
... IKEA opens fourth store in Bengaluru ...,C,61887,0.25, ,,,,,,,,, Awareness,,
... Ikea furniture that will be at home with your kids for years ...,B,264,0.5, ,,,,,,,,,,,
Products from IKEA suppliers appeared on Yandex Market — Wylsacom ...,B,264,0.5, ,,,,,,,,,,,
... Ikea Symfonisk Picture Frame Speaker review ...,C,449,0.25, ,,,,,,,,,,,
"Seeking local furniture makers to offset the price hike, IKEA opens its second store in Mexico ...",B,264,0.5, ,,,,,, Affordability,,, Awareness,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0, ,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
,,,0,,,,,,,,,,,,
